================ Training Loss (Tue Nov 30 09:37:19 2021) ================
(epoch: 1, iters: 1600, time: 0.009, data: 0.227) pixel: 4.178 gt: 45.253 decision: 13.171 
(epoch: 1, iters: 3200, time: 0.007, data: 0.000) pixel: 3.559 gt: 44.269 decision: 11.396 
(epoch: 1, iters: 4800, time: 0.007, data: 0.000) pixel: 3.552 gt: 44.630 decision: 10.811 
(epoch: 1, iters: 6400, time: 0.006, data: 0.000) pixel: 3.921 gt: 44.551 decision: 10.624 
(epoch: 1, iters: 8000, time: 0.009, data: 0.000) pixel: 3.368 gt: 43.387 decision: 8.704 
(epoch: 1, iters: 9600, time: 0.006, data: 0.000) pixel: 3.389 gt: 43.363 decision: 7.743 
(epoch: 1, iters: 11200, time: 0.007, data: 0.000) pixel: 3.408 gt: 42.946 decision: 7.797 
(epoch: 1, iters: 12800, time: 0.006, data: 0.000) pixel: 3.076 gt: 41.673 decision: 11.302 
(epoch: 1, iters: 14400, time: 0.007, data: 0.000) pixel: 3.474 gt: 41.922 decision: 9.530 
(epoch: 2, iters: 1600, time: 0.009, data: 0.301) pixel: 3.120 gt: 40.582 decision: 8.031 
(epoch: 2, iters: 3200, time: 0.007, data: 0.000) pixel: 3.543 gt: 39.458 decision: 8.487 
(epoch: 2, iters: 4800, time: 0.007, data: 0.000) pixel: 3.231 gt: 39.188 decision: 8.823 
(epoch: 2, iters: 6400, time: 0.007, data: 0.000) pixel: 3.417 gt: 38.637 decision: 9.587 
(epoch: 2, iters: 8000, time: 0.006, data: 0.000) pixel: 3.479 gt: 39.030 decision: 8.904 
(epoch: 2, iters: 9600, time: 0.009, data: 0.000) pixel: 3.459 gt: 38.264 decision: 8.032 
(epoch: 2, iters: 11200, time: 0.007, data: 0.000) pixel: 3.512 gt: 37.302 decision: 11.331 
(epoch: 2, iters: 12800, time: 0.006, data: 0.000) pixel: 3.384 gt: 37.619 decision: 8.704 
(epoch: 2, iters: 14400, time: 0.006, data: 0.000) pixel: 3.422 gt: 36.386 decision: 9.540 
(epoch: 3, iters: 1600, time: 0.008, data: 0.234) pixel: 3.354 gt: 35.515 decision: 7.884 
(epoch: 3, iters: 3200, time: 0.009, data: 0.000) pixel: 3.685 gt: 34.370 decision: 9.158 
(epoch: 3, iters: 4800, time: 0.007, data: 0.000) pixel: 3.360 gt: 33.391 decision: 7.966 
(epoch: 3, iters: 6400, time: 0.006, data: 0.000) pixel: 3.285 gt: 32.327 decision: 8.009 
(epoch: 3, iters: 8000, time: 0.007, data: 0.000) pixel: 3.541 gt: 34.017 decision: 8.940 
(epoch: 3, iters: 9600, time: 0.007, data: 0.000) pixel: 3.663 gt: 31.527 decision: 9.825 
(epoch: 3, iters: 11200, time: 0.009, data: 0.000) pixel: 3.384 gt: 32.018 decision: 9.405 
(epoch: 3, iters: 12800, time: 0.007, data: 0.000) pixel: 3.270 gt: 30.809 decision: 8.163 
(epoch: 3, iters: 14400, time: 0.007, data: 0.000) pixel: 3.292 gt: 31.599 decision: 8.346 
(epoch: 4, iters: 1600, time: 0.009, data: 0.219) pixel: 3.335 gt: 31.075 decision: 8.705 
(epoch: 4, iters: 3200, time: 0.006, data: 0.000) pixel: 3.154 gt: 30.704 decision: 7.351 
(epoch: 4, iters: 4800, time: 0.008, data: 0.000) pixel: 2.991 gt: 30.831 decision: 6.962 
(epoch: 4, iters: 6400, time: 0.007, data: 0.000) pixel: 3.231 gt: 30.630 decision: 8.228 
(epoch: 4, iters: 8000, time: 0.007, data: 0.000) pixel: 3.153 gt: 30.340 decision: 8.000 
(epoch: 4, iters: 9600, time: 0.006, data: 0.000) pixel: 3.121 gt: 29.798 decision: 8.690 
(epoch: 4, iters: 11200, time: 0.006, data: 0.000) pixel: 3.156 gt: 30.187 decision: 8.098 
(epoch: 4, iters: 12800, time: 0.009, data: 0.000) pixel: 3.267 gt: 29.831 decision: 9.514 
(epoch: 4, iters: 14400, time: 0.007, data: 0.000) pixel: 3.378 gt: 30.103 decision: 7.257 
(epoch: 5, iters: 1600, time: 0.009, data: 0.272) pixel: 3.189 gt: 30.805 decision: 7.153 
(epoch: 5, iters: 3200, time: 0.007, data: 0.000) pixel: 3.229 gt: 29.573 decision: 8.046 
(epoch: 5, iters: 4800, time: 0.007, data: 0.000) pixel: 3.290 gt: 29.700 decision: 8.357 
(epoch: 5, iters: 6400, time: 0.008, data: 0.000) pixel: 3.215 gt: 29.997 decision: 8.237 
(epoch: 5, iters: 8000, time: 0.007, data: 0.000) pixel: 3.181 gt: 29.988 decision: 12.491 
(epoch: 5, iters: 9600, time: 0.007, data: 0.000) pixel: 3.370 gt: 30.245 decision: 8.296 
(epoch: 5, iters: 11200, time: 0.006, data: 0.000) pixel: 3.156 gt: 30.168 decision: 9.221 
(epoch: 5, iters: 12800, time: 0.006, data: 0.000) pixel: 3.343 gt: 30.011 decision: 7.957 
(epoch: 5, iters: 14400, time: 0.009, data: 0.000) pixel: 3.168 gt: 29.529 decision: 9.359 
(epoch: 6, iters: 1600, time: 0.009, data: 0.225) pixel: 3.405 gt: 30.203 decision: 9.750 
(epoch: 6, iters: 3200, time: 0.007, data: 0.000) pixel: 3.238 gt: 30.212 decision: 10.289 
(epoch: 6, iters: 4800, time: 0.007, data: 0.000) pixel: 3.276 gt: 29.495 decision: 9.686 
(epoch: 6, iters: 6400, time: 0.006, data: 0.000) pixel: 3.410 gt: 30.421 decision: 8.820 
(epoch: 6, iters: 8000, time: 0.009, data: 0.000) pixel: 3.374 gt: 29.168 decision: 7.175 
(epoch: 6, iters: 9600, time: 0.007, data: 0.000) pixel: 3.322 gt: 29.335 decision: 8.654 
(epoch: 6, iters: 11200, time: 0.006, data: 0.000) pixel: 3.337 gt: 29.533 decision: 8.664 
(epoch: 6, iters: 12800, time: 0.006, data: 0.000) pixel: 3.183 gt: 30.789 decision: 8.419 
(epoch: 6, iters: 14400, time: 0.006, data: 0.000) pixel: 3.304 gt: 30.543 decision: 7.157 
(epoch: 7, iters: 1600, time: 0.009, data: 0.236) pixel: 2.922 gt: 29.536 decision: 8.578 
(epoch: 7, iters: 3200, time: 0.006, data: 0.000) pixel: 3.274 gt: 29.076 decision: 9.886 
(epoch: 7, iters: 4800, time: 0.006, data: 0.000) pixel: 3.307 gt: 30.772 decision: 8.547 
(epoch: 7, iters: 6400, time: 0.007, data: 0.000) pixel: 3.330 gt: 29.752 decision: 8.341 
(epoch: 7, iters: 8000, time: 0.006, data: 0.000) pixel: 3.135 gt: 28.943 decision: 9.038 
(epoch: 7, iters: 9600, time: 0.009, data: 0.000) pixel: 3.230 gt: 29.714 decision: 9.375 
(epoch: 7, iters: 11200, time: 0.007, data: 0.000) pixel: 3.271 gt: 28.928 decision: 9.295 
(epoch: 7, iters: 12800, time: 0.006, data: 0.000) pixel: 3.193 gt: 28.992 decision: 8.741 
(epoch: 7, iters: 14400, time: 0.006, data: 0.000) pixel: 3.158 gt: 28.388 decision: 9.084 
(epoch: 8, iters: 1600, time: 0.009, data: 0.218) pixel: 3.306 gt: 28.459 decision: 7.667 
(epoch: 8, iters: 3200, time: 0.009, data: 0.000) pixel: 3.137 gt: 29.821 decision: 8.259 
(epoch: 8, iters: 4800, time: 0.006, data: 0.000) pixel: 3.158 gt: 28.994 decision: 10.527 
(epoch: 8, iters: 6400, time: 0.007, data: 0.000) pixel: 3.546 gt: 29.779 decision: 7.251 
(epoch: 8, iters: 8000, time: 0.006, data: 0.000) pixel: 3.303 gt: 29.024 decision: 9.418 
(epoch: 8, iters: 9600, time: 0.006, data: 0.000) pixel: 3.248 gt: 29.322 decision: 8.209 
(epoch: 8, iters: 11200, time: 0.009, data: 0.000) pixel: 3.110 gt: 28.629 decision: 11.103 
(epoch: 8, iters: 12800, time: 0.007, data: 0.000) pixel: 3.337 gt: 28.770 decision: 8.014 
(epoch: 8, iters: 14400, time: 0.007, data: 0.000) pixel: 3.229 gt: 27.878 decision: 7.928 
(epoch: 9, iters: 1600, time: 0.009, data: 0.230) pixel: 3.454 gt: 29.207 decision: 7.910 
(epoch: 9, iters: 3200, time: 0.006, data: 0.000) pixel: 3.218 gt: 27.695 decision: 7.798 
(epoch: 9, iters: 4800, time: 0.009, data: 0.000) pixel: 3.232 gt: 27.487 decision: 8.228 
(epoch: 9, iters: 6400, time: 0.006, data: 0.000) pixel: 3.345 gt: 28.345 decision: 9.472 
(epoch: 9, iters: 8000, time: 0.006, data: 0.000) pixel: 3.000 gt: 28.151 decision: 6.740 
(epoch: 9, iters: 9600, time: 0.007, data: 0.000) pixel: 3.454 gt: 27.539 decision: 9.410 
(epoch: 9, iters: 11200, time: 0.007, data: 0.000) pixel: 3.426 gt: 28.374 decision: 7.738 
(epoch: 9, iters: 12800, time: 0.009, data: 0.000) pixel: 3.112 gt: 27.624 decision: 7.532 
(epoch: 9, iters: 14400, time: 0.007, data: 0.000) pixel: 3.353 gt: 28.974 decision: 8.498 
(epoch: 10, iters: 1600, time: 0.009, data: 0.208) pixel: 3.361 gt: 28.560 decision: 8.101 
(epoch: 10, iters: 3200, time: 0.006, data: 0.000) pixel: 3.274 gt: 27.542 decision: 6.712 
(epoch: 10, iters: 4800, time: 0.007, data: 0.000) pixel: 3.222 gt: 28.304 decision: 7.806 
(epoch: 10, iters: 6400, time: 0.009, data: 0.000) pixel: 3.323 gt: 27.578 decision: 10.917 
(epoch: 10, iters: 8000, time: 0.007, data: 0.000) pixel: 3.268 gt: 28.042 decision: 10.297 
(epoch: 10, iters: 9600, time: 0.007, data: 0.000) pixel: 3.458 gt: 28.171 decision: 6.920 
(epoch: 10, iters: 11200, time: 0.006, data: 0.000) pixel: 3.308 gt: 27.641 decision: 8.760 
(epoch: 10, iters: 12800, time: 0.006, data: 0.000) pixel: 3.129 gt: 27.038 decision: 9.003 
(epoch: 10, iters: 14400, time: 0.009, data: 0.000) pixel: 3.320 gt: 27.327 decision: 7.355 
(epoch: 11, iters: 1600, time: 0.009, data: 0.213) pixel: 3.757 gt: 27.511 decision: 9.226 
(epoch: 11, iters: 3200, time: 0.007, data: 0.000) pixel: 3.490 gt: 28.143 decision: 9.212 
(epoch: 11, iters: 4800, time: 0.007, data: 0.000) pixel: 3.436 gt: 27.493 decision: 9.456 
(epoch: 11, iters: 6400, time: 0.007, data: 0.000) pixel: 3.424 gt: 26.905 decision: 8.791 
(epoch: 11, iters: 8000, time: 0.009, data: 0.000) pixel: 3.434 gt: 26.754 decision: 8.999 
(epoch: 11, iters: 9600, time: 0.007, data: 0.000) pixel: 3.521 gt: 27.217 decision: 7.612 
(epoch: 11, iters: 11200, time: 0.006, data: 0.000) pixel: 3.489 gt: 28.289 decision: 9.037 
(epoch: 11, iters: 12800, time: 0.006, data: 0.000) pixel: 3.455 gt: 27.146 decision: 9.743 
(epoch: 11, iters: 14400, time: 0.007, data: 0.000) pixel: 3.243 gt: 27.121 decision: 8.231 
(epoch: 12, iters: 1600, time: 0.009, data: 0.212) pixel: 3.179 gt: 26.293 decision: 7.001 
(epoch: 12, iters: 3200, time: 0.006, data: 0.000) pixel: 3.337 gt: 25.969 decision: 7.521 
(epoch: 12, iters: 4800, time: 0.006, data: 0.000) pixel: 3.162 gt: 26.898 decision: 8.824 
(epoch: 12, iters: 6400, time: 0.007, data: 0.000) pixel: 3.094 gt: 26.843 decision: 7.950 
(epoch: 12, iters: 8000, time: 0.006, data: 0.000) pixel: 3.275 gt: 28.060 decision: 9.572 
(epoch: 12, iters: 9600, time: 0.009, data: 0.000) pixel: 3.524 gt: 26.011 decision: 10.081 
(epoch: 12, iters: 11200, time: 0.007, data: 0.000) pixel: 3.354 gt: 26.820 decision: 7.729 
(epoch: 12, iters: 12800, time: 0.007, data: 0.000) pixel: 3.561 gt: 27.592 decision: 9.268 
(epoch: 12, iters: 14400, time: 0.007, data: 0.000) pixel: 3.332 gt: 26.732 decision: 8.696 
(epoch: 13, iters: 1600, time: 0.009, data: 0.196) pixel: 3.241 gt: 25.926 decision: 8.876 
(epoch: 13, iters: 3200, time: 0.010, data: 0.000) pixel: 3.464 gt: 27.167 decision: 7.856 
(epoch: 13, iters: 4800, time: 0.006, data: 0.000) pixel: 3.447 gt: 26.871 decision: 7.483 
(epoch: 13, iters: 6400, time: 0.007, data: 0.000) pixel: 3.044 gt: 25.743 decision: 8.789 
(epoch: 13, iters: 8000, time: 0.007, data: 0.000) pixel: 3.246 gt: 26.271 decision: 7.710 
(epoch: 13, iters: 9600, time: 0.006, data: 0.000) pixel: 3.565 gt: 27.075 decision: 8.587 
(epoch: 13, iters: 11200, time: 0.009, data: 0.000) pixel: 3.582 gt: 26.607 decision: 12.058 
(epoch: 13, iters: 12800, time: 0.006, data: 0.000) pixel: 3.388 gt: 26.106 decision: 8.464 
(epoch: 13, iters: 14400, time: 0.007, data: 0.000) pixel: 3.318 gt: 26.773 decision: 8.146 
(epoch: 14, iters: 1600, time: 0.009, data: 0.204) pixel: 3.224 gt: 25.986 decision: 9.224 
(epoch: 14, iters: 3200, time: 0.006, data: 0.000) pixel: 3.114 gt: 26.202 decision: 9.742 
(epoch: 14, iters: 4800, time: 0.009, data: 0.000) pixel: 3.594 gt: 25.962 decision: 8.515 
